Year,Author,Fo,peak,name,celsius,GPa ,hours,fO2Buffer,logf02,orientation,log10D,Experiment,mechanism,polarized IR
1990,Mackwell,91,bulk H,SC14#1,800,3,1,Fe-FeO,-13.37,a,-10.301029995664,hydration,pp,no
1990,Mackwell,91,bulk H,SC14#1,800,3,1,Fe-FeO,-13.37,b,-11.5228787452803,hydration,pp (max),no
1990,Mackwell,91,bulk H,SC14#7,800,3,1,Fe-FeO,-13.37,a,-10.698970004336,hydration,pp,no
1990,Mackwell,91,bulk H,SC14#7,800,3,1,Fe-FeO,-13.37,c,-11.5228787452803,hydration,pp (max),no
1990,Mackwell,91,bulk H,SC16#2,850,3,1,Fe-FeO,-12.27,a,-10.5228787452803,hydration,pp,no
1990,Mackwell,91,bulk H,SC16#2,850,3,1,Fe-FeO,-12.27,c,-11.301029995664,hydration,pp,no
1990,Mackwell,91,bulk H,SC14#2,900,3,1,Fe-FeO,-11.26,a,-10.0969100130081,hydration,pp,no
1990,Mackwell,91,bulk H,SC14#2,900,3,1,Fe-FeO,-11.26,b,-11.698970004336,hydration,pp (max),no
1990,Mackwell,91,bulk H,SC14#6,900,3,1,Fe-FeO,-11.26,a,-10,hydration,pp,no
1990,Mackwell,91,bulk H,SC14#6,900,3,1,Fe-FeO,-11.26,b,-11.5228787452803,hydration,pp (max),no
1990,Mackwell,91,bulk H,SC14#6,900,3,1,Fe-FeO,-11.26,c,-11,hydration,pp,no
1990,Mackwell,91,bulk H,SC14#3,1000,3,1,Fe-FeO,-9.47,a,-9.39794000867204,hydration,pp,no
1990,Mackwell,91,bulk H,SC16#4,1000,3,0.6,Ni-NiO,-5.11,a,-9.69897000433602,hydration,pp,no
1990,Mackwell,91,bulk H,SC16#4,1000,3,0.6,Ni-NiO,-5.11,b,-12,hydration,pp (max),no
1990,Mackwell,91,bulk H,SC16#4,1000,3,0.6,Ni-NiO,-5.11,c,-11,hydration,pp,no
,,,,,,,,,,,,,,
2003,Demouchy ,100,bulk H,Fo1-3,1000,1.5,3,Fe-FeO,-14.2,a,-12.8538719643218,hydration,pv,
2003,Demouchy ,100,bulk H,Fo1-3,1000,1.5,3,Fe-FeO,-14.2,b,-12.5228787452803,hydration,pv,
2003,Demouchy ,100,bulk H,Fo1-3,1000,1.5,3,Fe-FeO,-14.2,c,-12.301029995664,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-2,1000,1.5,3,Ni-NiO,-10.3,a,-12.1549019599857,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-2,1000,1.5,3,Ni-NiO,-10.3,b,-12.5228787452803,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-4,1000,0.2,8,Ni-NiO,-10.3,a,-13,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-4,1000,0.2,8,Ni-NiO,-10.3,b,-13,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-4,1000,0.2,8,Ni-NiO,-10.3,c,-12,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-5,1060,0.2,8,Ni-NiO,-9.4,a,-12.698970004336,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-5,1060,0.2,8,Ni-NiO,-9.4,b,-11.7958800173441,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-5,1060,0.2,8,Ni-NiO,-9.4,c,-11.4559319556497,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-6,1060,0.2,8,Ni-NiO,-9.4,a,-12.698970004336,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-6,1060,0.2,8,Ni-NiO,-9.4,b,-12.2218487496164,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-6,1060,0.2,8,Ni-NiO,-9.4,c,-11.698970004336,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-8,1100,0.2,3,Ni-NiO,-8.9,a,-12.301029995664,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-8,1100,0.2,3,Ni-NiO,-8.9,b,-12,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-8,1100,0.2,3,Ni-NiO,-8.9,c,-10.8860566476932,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-9,1100,0.2,3,Ni-NiO,-8.7,a,-13.0757207139381,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-9,1100,0.2,3,Ni-NiO,-8.7,b,-11.7958800173441,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-9,1100,0.2,3,Ni-NiO,-8.7,c,-11.4559319556497,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-10,1110,0.2,3,Ni-NiO,-8.7,a,-13,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-10,1110,0.2,3,Ni-NiO,-8.7,b,-12.4436974992327,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-10,1110,0.2,3,Ni-NiO,-8.7,c,-12,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-12,900,0.2,20,Ni-NiO,-11.8,c,-12.698970004336,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-13,950,0.2,12,Ni-NiO,-11,b,-12.698970004336,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-13,950,0.2,12,Ni-NiO,-11,c,-12.1549019599857,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-14,900,0.2,20,Ni-NiO,-11.9,a,-12.698970004336,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-14,900,0.2,20,Ni-NiO,-11.9,b,-12.698970004336,hydration,pv,
2003,Demouchy ,100,bulk H,Fo2-14,900,0.2,20,Ni-NiO,-11.9,c,-12.602059991328,hydration,pv,
,,,,,,,,,,,,,,
